"logLik","IC","Lack.of.fit","Res.var","model","Site.name"
1051.17218813759,-1740.34437627519,NA,0.00395555570928735,"W2.3","Chicken"
1038.81008315661,-1715.62016631322,NA,0.00409714615908818,"LL.3","Chicken"
1020.66593248568,-1679.33186497136,NA,0.0043141912436244,"W1.3","Chicken"
840.633423104068,-1671.26684620814,NA,0.00538719114505606,"Cubic","Chicken"
820.404308162069,-1632.80861632414,NA,0.00569817163607688,"Quad","Chicken"
601.726188774622,-1197.45237754924,NA,0.0105999169714305,"Lin","Chicken"
474.214247589855,-938.428495179711,NA,0.00778271572843202,"Cubic","Davies"
469.820892709895,-931.641785419791,NA,0.00791316248324334,"Quad","Davies"
577.618487823765,-895.23697564753,NA,0.00684755274502313,"W2.3","Davies"
572.785551208204,-885.571102416409,NA,0.00699044977885193,"LL.3","Davies"
568.415207263692,-876.830414527384,NA,0.00712223502195945,"W1.3","Davies"
372.451541084839,-738.903082169678,NA,0.0119710067468126,"Lin","Davies"
719.616245733012,-1431.23249146602,NA,0.00579569952254522,"Quad","Fitzroy Island"
719.834941650749,-1429.6698833015,NA,0.00580100558806704,"Cubic","Fitzroy Island"
854.370940032952,-1376.7418800659,NA,0.00508919291240637,"W2.3","Fitzroy Island"
850.803493889958,-1369.60698777992,NA,0.00514800167020134,"LL.3","Fitzroy Island"
848.053362512796,-1364.10672502559,NA,0.00519380058962403,"W1.3","Fitzroy Island"
527.83285273422,-1049.66570546844,NA,0.0107312414240877,"Lin","Fitzroy Island"
1153.53965201655,-1969.07930403309,NA,0.00221387616593706,"LL.3","Fitzroy Reef"
1133.5381380638,-1929.07627612759,NA,0.00235552845364507,"W2.3","Fitzroy Reef"
1132.09857033531,-1926.19714067061,NA,0.00236606650705023,"W1.3","Fitzroy Reef"
967.888039455441,-1925.77607891088,NA,0.00292968775570154,"Cubic","Fitzroy Reef"
916.462615186604,-1824.92523037321,NA,0.00343080759007084,"Quad","Fitzroy Reef"
692.818807527501,-1379.637615055,NA,0.00685315022179787,"Lin","Fitzroy Reef"
1085.88491388746,-1839.76982777491,NA,0.00248808199475604,"W2.3","Heron"
1063.67342282375,-1795.34684564751,NA,0.00267075761117181,"LL.3","Heron"
895.722303052576,-1781.44460610515,NA,0.00338417381308102,"Cubic","Heron"
1036.13471751941,-1740.26943503881,NA,0.00291597704434831,"W1.3","Heron"
809.825094981491,-1611.65018996298,NA,0.00444375721485812,"Quad","Heron"
588.099668159546,-1170.19933631909,NA,0.00899939269369228,"Lin","Heron"
356.649652793581,-703.299305587162,NA,0.00887733039353807,"Cubic","Kelso"
448.280257145395,-690.56051429079,0.0147695175970098,0.00740288505608536,"W2.3","Kelso"
349.243675075456,-690.487350150911,NA,0.00920926289158216,"Quad","Kelso"
440.41465825457,-674.82931650914,0.0128597302797926,0.00771917959757939,"LL.3","Kelso"
431.945816580183,-657.891633160367,0.0110644023196978,0.00807485666776303,"W1.3","Kelso"
278.509945413971,-551.019890827942,NA,0.0133801956703704,"Lin","Kelso"
1177.59238446353,-2017.18476892705,NA,0.00200248959089599,"W2.3","Lady Musgrave"
1146.07757595352,-1954.15515190704,NA,0.00220974025839887,"LL.3","Lady Musgrave"
1131.13374829758,-1924.26749659516,NA,0.00231538143316321,"W1.3","Lady Musgrave"
953.906903180002,-1897.81380636,NA,0.00298974695428972,"Cubic","Lady Musgrave"
906.758711978402,-1805.5174239568,NA,0.003458917775244,"Quad","Lady Musgrave"
694.733215806494,-1383.46643161299,NA,0.00669905724092386,"Lin","Lady Musgrave"
1183.17515655396,-2034.35031310792,NA,0.00184419293530942,"W2.3","Mackay"
1150.73071915618,-1969.46143831236,NA,0.00204460314893619,"LL.3","Mackay"
964.101158821506,-1918.20231764301,NA,0.00274767016531192,"Cubic","Mackay"
961.231123061615,-1914.46224612323,NA,0.00276842987816333,"Quad","Mackay"
1122.78445410347,-1913.56890820693,NA,0.0022346018294033,"W1.3","Mackay"
753.554173239637,-1501.10834647927,NA,0.00534961300081895,"Lin","Mackay"
715.546969818321,-1423.09393963664,NA,0.0052251762785857,"Quad","Martin"
715.814484382068,-1421.62896876414,NA,0.00522934153305349,"Cubic","Martin"
831.59423900206,-1343.18847800412,0.0755068646189295,0.00480220380950805,"W2.3","Martin"
809.55404673042,-1299.10809346084,0.0663996485667261,0.00517407737682922,"LL.3","Martin"
794.822839935618,-1269.64567987124,0.060884564672576,0.00543855194161241,"W1.3","Martin"
587.744095223756,-1169.48819044751,NA,0.00803885239933737,"Lin","Martin"
428.636402676133,-847.272805352267,NA,0.00587091240428764,"Cubic","Moore"
522.332559355686,-838.665118711373,0.999999999981134,0.00483344735062523,"W2.3","Moore"
521.1718684288,-836.343736857601,0.999999999968764,0.00486378550012314,"LL.3","Moore"
520.420473278931,-834.840946557862,0.999999999956918,0.00488352693752371,"W1.3","Moore"
421.07259572015,-834.1451914403,NA,0.00609863030891554,"Quad","Moore"
317.891547163766,-629.783094327532,NA,0.0106077256257057,"Lin","Moore"
414.382516457581,-820.765032915163,NA,0.010141966898128,"Quad","No Name"
414.406386293511,-818.812772587023,NA,0.0101626540523437,"Cubic","No Name"
503.27446758235,-752.5489351647,NA,0.0094323504510352,"W2.3","No Name"
487.994337443243,-721.988674886486,NA,0.0100646481214219,"LL.3","No Name"
479.986844308296,-705.973688616592,NA,0.0104127518227469,"W1.3","No Name"
355.645011896301,-705.290023792602,NA,0.0129871919378479,"Lin","No Name"
598.832579237051,-889.665158474102,NA,0.0105596888210445,"W2.3","North Direction"
579.981852935544,-851.963705871088,NA,0.0112492479885083,"LL.3","North Direction"
560.893329953761,-813.786659907522,NA,0.0119934027430746,"W1.3","North Direction"
334.241111694248,-658.482223388495,NA,0.019201680014894,"Cubic","North Direction"
332.617625498095,-657.235250996189,NA,0.0192740176298245,"Quad","North Direction"
283.230841938646,-560.461683877292,NA,0.022709889567212,"Lin","North Direction"
461.400125974883,-912.800251949766,NA,0.00804834080909044,"Cubic","Pelorus East"
580.304130436562,-906.608260873124,NA,0.00655880898878682,"W2.3","Pelorus East"
452.885293938918,-897.770587877836,NA,0.00833172745305833,"Quad","Pelorus East"
574.888333906079,-895.776667812158,NA,0.0067140570745434,"LL.3","Pelorus East"
572.063449524773,-890.126899049546,NA,0.00679648742566758,"W1.3","Pelorus East"
354.768289495988,-703.536578991977,NA,0.0127016360900161,"Lin","Pelorus East"
666.798361545636,-1085.59672309127,1,0.00401752253850711,"W2.3","St Crispin"
665.396460094767,-1082.79292018953,0.999999999999999,0.00404297295014888,"LL.3","St Crispin"
664.32365185991,-1080.64730371982,0.999999999999999,0.00406255777715299,"W1.3","St Crispin"
528.90626464083,-1047.81252928166,NA,0.00545464422162351,"Cubic","St Crispin"
521.760556931722,-1035.52111386344,NA,0.00562030043457643,"Quad","St Crispin"
431.739824772471,-857.479649544942,NA,0.00841166057949581,"Lin","St Crispin"
