"Trait_metric","Variable","mean","sd","n","lower","upper","q1","q3","median","IQ","min","max"
"FvFm_ED50","MMM",0.231827492084262,0.0240936139379277,10,0.214591958963974,0.249063025204549,0.212636254923581,0.25693975354532,0.226113752663483,0.0443034986217395,0.146181006990971,0.323395001477929
"FvFm_ED50","DHW_collection",0.18836512158597,0.0172314150101319,10,0.176038509858826,0.200691733313114,0.180101085190806,0.192607443232879,0.183830469663293,0.0125063580420725,0.161341548127697,0.211366980295987
"FvFm_ED50","TSA_DHW_stdev",0.0893123695418294,0.0180322791810112,10,0.076412854099302,0.102211884984357,0.077211813989703,0.100722822097174,0.0880433117721615,0.023511008107471,0.0419453018284965,0.13598933425838
"FvFm_ED50","DHW_freq_sup4",0.0889539125279538,0.0214517378819719,10,0.0736082636890127,0.104299561366895,0.0747019520474821,0.104813237534971,0.0809581304965762,0.0301112854874892,0.0295350238162483,0.149980165766205
"FvFm_ED50","CF30a",0.0556747434433871,0.0136375625895986,10,0.0459190188643106,0.0654304680224636,0.0479469689596921,0.0615894098980872,0.054453017779855,0.0136424409383951,0.0274833075520994,0.0820530713056799
"FvFm_ED50","AR",0.0475477286572405,0.007169436427331,10,0.0424190227970316,0.0526764345174494,0.0454715676671911,0.0509688654228885,0.0482745737785103,0.00549729775569741,0.037225621033645,0.0592148120564346
"FvFm_ED50","Depth",0.0461775667642998,0.0066484316504608,10,0.0414215652692687,0.0509335682593309,0.0420999012009221,0.0509009941729522,0.0454525963369645,0.00880109297203018,0.0288982617428768,0.0641026336309975
"FvFm_ED50","ROTC_ss",0.0445042756646528,0.00601865387051716,10,0.0401987900537312,0.0488097612755743,0.0401006588121601,0.0489918973336972,0.0445083019021373,0.00889123852153717,0.0267638010298543,0.062328755116003
"FvFm_ED50","Velocity_OM",0.043810579809136,0.0088007381870031,10,0.0375149109694235,0.0501062486488484,0.0363963963005,0.0502210901182795,0.044443697641193,0.0138246938177795,0.0156593555738307,0.0709581308449487
"FvFm_ED50","Turbidity",0.0363106048011895,0.00579555135573281,10,0.0321647171149584,0.0404564924874207,0.0322417549446752,0.0393668415931114,0.0365289755218608,0.00712508664843615,0.021554124972021,0.0500544715657656
"FvFm_ED50","DHW_freq_sup4_1year",0.0149383249215326,0.00250252541908447,10,0.0131481260806234,0.0167285237624418,0.0130401526644722,0.0170639292942513,0.0147048055714897,0.00402377662977908,0.00700448771980356,0.0230995942389199
"FvFm_ED50","Health.score",0.00359256767356075,0.00312086375309744,10,0.00136003623518897,0.00582509911193253,0.00244709987253269,0.00599198989791865,0.00339308649841273,0.00354489002538596,-0.00287023516554625,0.0113093249359976
"FvFm_Ratio","MMM",0.00583565754701462,0.000489169835681016,10,0.00548572652686768,0.00618558856716157,0.00559309033428995,0.00613509822914669,0.00589348065546975,0.000542007894856742,0.00478007849200484,0.00694811007143181
"FvFm_Ratio","DHW_collection",0.00455958591282273,0.000283847226189292,10,0.0043565338393276,0.00476263798631786,0.00434238530209124,0.00470321500774607,0.0045726445406833,0.000360829705654832,0.00380114074360899,0.00524445956622832
"FvFm_Ratio","AR",0.0032151762880213,0.000223985806498987,10,0.00305494649450284,0.00337540608153976,0.00307545656474885,0.00340183862470999,0.0032337446944065,0.000326382059961136,0.00258588347480715,0.00389141171465169
"FvFm_Ratio","CF30a",0.00174015764634796,0.000325237195048316,10,0.00150749697279162,0.00197281831990431,0.00149008362173848,0.00203829830177501,0.00169412162514295,0.000548214680036523,0.0006677616016837,0.00286062032182979
"FvFm_Ratio","Velocity_OM",0.00149392505900175,0.000173240260680148,10,0.00136999644213205,0.00161785367587145,0.0013815993989367,0.00160452932158534,0.00155476974025081,0.00022292992264864,0.00104720451496374,0.0019389242055583
"FvFm_Ratio","DHW_freq_sup4",0.00140166931407097,0.000317618257059162,10,0.00117445890042134,0.00162887972772061,0.00114114717159214,0.00168775426202933,0.00138340495298192,0.000546607090437192,0.000321236535936354,0.00250766489768512
"FvFm_Ratio","ROTC_ss",0.00108501082438677,0.000190232975012532,10,0.000948926351968209,0.00122109529680533,0.000961389686182559,0.00112786031243898,0.000990063866624359,0.000166470626256421,0.000711683746797927,0.00137756625182361
"FvFm_Ratio","DHW_freq_sup4_1year",0.00103475336579735,0.000268081623361906,10,0.000842979325161581,0.00122652740643311,0.000825570516677834,0.00112516377796563,0.00097170555171582,0.000299593261287801,0.000376180624746133,0.00157455366989734
"FvFm_Ratio","Depth",0.000974566952162348,0.000167404677763372,10,0.000854812859832526,0.00109432104449217,0.00091490939458255,0.00102014643264297,0.000974470065812154,0.00010523703806042,0.000757053837491919,0.0011780019897336
"FvFm_Ratio","TSA_DHW_stdev",0.000951272067289703,0.000147022113727028,10,0.000846098782904669,0.00105644535167474,0.000869814333272472,0.00104841043777952,0.000951946642181522,0.000178596104507048,0.0006019201765119,0.00131630459454009
"FvFm_Ratio","Turbidity",0.000771934992447881,0.000116141603265054,10,0.00068885229448172,0.000855017690414042,0.000691085017156377,0.000853597732472959,0.000774018830867839,0.000162512715316582,0.000447315944181504,0.00109736680544783
"FvFm_Ratio","Health.score",0.000252437005634888,8.60920078812702e-05,10,0.000190850493248141,0.000314023518021636,0.000199293322455023,0.000286302771783088,0.000248945567408401,8.70094493280648e-05,6.87791484629255e-05,0.000416816945775185
"NDVI_ED50","DHW_freq_sup4_1year",0.0871106005410914,0.008354187527038,10,0.0811343747998508,0.093086826282332,0.0838760504266521,0.0886084163332258,0.0866887385158069,0.00473236590657371,0.0767775015667916,0.0957069651930864
"NDVI_ED50","DHW_collection",0.0652600002431532,0.0107372100436416,10,0.0575790628875766,0.0729409375987299,0.0553421746517683,0.0740487929035392,0.066607536842265,0.0187066182517709,0.027282247274112,0.102108720281196
"NDVI_ED50","MMM",0.0434602933700552,0.0111396467532908,10,0.0354914701350149,0.0514291166050955,0.0356766181403345,0.0516545180469172,0.0419240336581704,0.0159778999065827,0.0117097682804604,0.0756213679067913
"NDVI_ED50","Turbidity",0.0222823431106212,0.00395170172716746,10,0.0194554659897557,0.0251092202314866,0.0202160887807276,0.0243613412419499,0.0216693274351993,0.00414525246122227,0.0139982100888942,0.0305792199337833
"NDVI_ED50","DHW_freq_sup4",0.0209498080624495,0.00393794729127137,10,0.01813277027229,0.0237668458526089,0.0190791860519137,0.0224925131548606,0.0219557330629533,0.00341332710294691,0.0139591953974933,0.0276125038092809
"NDVI_ED50","Health.score",0.0151462387120093,0.00755286880409819,10,0.00974324185310725,0.0205492355709113,0.0093909288526394,0.0205715476819602,0.0120104395249026,0.0111806188293208,-0.00737999939134183,0.0373424759259414
"NDVI_ED50","TSA_DHW_stdev",0.0118887665873893,0.00257422583087598,10,0.0100472763617441,0.0137302568130345,0.0102884818809514,0.0138215587938838,0.0124858084947134,0.00353307691293238,0.00498886651155283,0.0191211741632823
"NDVI_ED50","Velocity_OM",0.0113585579826971,0.00366144181569023,10,0.00873932029403333,0.0139777956713609,0.00885950091209866,0.0141854699907793,0.0104715171975444,0.00532596907868061,0.000870547294077748,0.0221744236088002
"NDVI_ED50","Depth",0.010402631112534,0.00508244856218311,10,0.00676686643433564,0.0140383957907324,0.00689645928190586,0.0119956058222698,0.00917038193328087,0.00509914654036395,-0.000752260528640063,0.0196443256328157
"NDVI_ED50","AR",0.0100623175151731,0.00330415478604053,10,0.00769866757058303,0.0124259674597633,0.00841594974426252,0.0125836658018893,0.0096100036594148,0.0041677160576268,0.00216437565782231,0.0188352398883295
"NDVI_ED50","CF30a",0.00881227885729821,0.00161603623631856,10,0.00765623617534889,0.00996832153924753,0.00826776406843401,0.00903631357812532,0.00848357353384015,0.000768549509691314,0.00711493980389704,0.0101891378426623
"NDVI_ED50","ROTC_ss",0.00664012702821997,0.00200463596197072,10,0.00520609684886707,0.00807415720757287,0.00522216881545421,0.00733198814864926,0.00672995867547654,0.00210981933319505,0.00205743981566164,0.0104967171484418
"NDVI_Ratio","DHW_collection",0.0199153970134553,0.00217660964827005,10,0.0183583442699629,0.0214724497569476,0.0188376253877764,0.0215513283120591,0.0194586629186783,0.00271370292428267,0.0147670710013524,0.0256218826984831
"NDVI_Ratio","MMM",0.0175875641641079,0.00274433190693354,10,0.0156243873822074,0.0195507409460085,0.0164373470562229,0.0195102406956589,0.0170042044086273,0.00307289363943605,0.0118280065970688,0.024119581154813
"NDVI_Ratio","AR",0.00466156542646828,0.00048809747996773,10,0.00431240152338649,0.00501072932955008,0.00452661599126792,0.00496869541632899,0.00461698898851896,0.00044207942506107,0.00386349685367631,0.00563181455392059
"NDVI_Ratio","Velocity_OM",0.00288096116330008,0.000379208205552033,10,0.00260969195465769,0.00315223037194247,0.00260051228785831,0.00310088421031867,0.0028094969194861,0.00050037192246036,0.00184995440416777,0.00385144209400921
"NDVI_Ratio","CF30a",0.00254799995187511,0.000325934814158737,10,0.00231484023167039,0.00278115967207983,0.00231263479401459,0.00276658748217403,0.00253921046764427,0.000453952688159445,0.00163170576177542,0.0034475165144132
"NDVI_Ratio","TSA_DHW_stdev",0.00175071076027859,0.000311464533382762,10,0.0015279024553583,0.00197351906519888,0.00158668379667902,0.00188115920941098,0.00174117587608249,0.000294475412731963,0.00114497067758107,0.00232287232850892
"NDVI_Ratio","Turbidity",0.000817173389532591,0.000169868578444147,10,0.000695656728835151,0.000938690050230031,0.000722039732764674,0.000905909359299891,0.000784546656534811,0.000183869626535217,0.000446235292961849,0.00118171379910272
"NDVI_Ratio","Depth",0.000685152331306029,0.000195008057459472,10,0.000545651970682471,0.000824652691929586,0.000555054563355891,0.000800217525306457,0.000664597108217421,0.000245162961950566,0.000187310120430041,0.00116796196823231
"NDVI_Ratio","DHW_freq_sup4",0.000507635783442752,0.000119556684187261,10,0.000422110083754441,0.000593161483131063,0.000408233416037789,0.000572316374785197,0.000486503971941996,0.000164082958747409,0.000162108977916676,0.00081844081290631
"NDVI_Ratio","ROTC_ss",0.000285474655539834,8.7904129498487e-05,10,0.000222591829439752,0.000348357481639916,0.000226899879040264,0.000343517481103552,0.000244184573051836,0.000116617602063288,5.19734759453321e-05,0.000518443884198483
"NDVI_Ratio","Health.score",0.000116522224490204,8.77149305057297e-05,10,5.37747431961938e-05,0.000179269705784215,9.16262818236032e-05,0.000181289761707321,0.000106317846368975,8.96634798837183e-05,-4.28689380019742e-05,0.000315784981532899
"NDVI_Ratio","DHW_freq_sup4_1year",9.14492192915129e-05,2.15933615925347e-05,10,7.60022589531714e-05,0.000106896179629854,7.40991373204233e-05,9.7186401386991e-05,9.15814070721524e-05,2.30872640665677e-05,3.94682412205716e-05,0.000131817297486843
